source,target
Stagione_1968-1969,Compagnia_teatro_minore
Compagnia_teatrale,Verbale_n.223
Compagnia_teatrale,Verbale_n.222
Compagnia_teatrale,Appunto
Compagnia_teatrale,Venezia
Compagnia_teatrale,Trieste
Compagnia_teatrale,Roma
Compagnia_teatrale,Milano
Compagnia_teatrale,Lugano
Compagnia_teatrale,Bolzano
Compagnia_teatrale,Aosta
Compagnia_teatrale,Premio_finale
Compagnia_teatrale,Manifestazione_Straordinaria
Compagnia_teatrale,Integrazione_recite
Compagnia_teatrale,Contributo_straordinario_
Stagione_1968-1969,Compagnia_teatrale
Compagnia_di_Commedia_Musicale,Verbale_n.222
Compagnia_di_Commedia_Musicale,Roma
Compagnia_di_Commedia_Musicale,Premio_finale
Stagione_1968-1969,Compagnia_di_Commedia_Musicale
Tino_Buazzelli,Importo_500000_1
Tino_Buazzelli,17_luglio_1969
Tino_Buazzelli,Verbale_n.222
Tino_Buazzelli,Stagione_1968-1969
Tino_Buazzelli,Integrazione_recite
Tino_Buazzelli,Trieste
Tino_Buazzelli,Lugano
Tino_Buazzelli,Compagnia_teatrale
Teatro_Universitario_di_Parma,Importo_4500000_1
Teatro_Universitario_di_Parma,29_ottobre_1978
Teatro_Universitario_di_Parma,Appunto
Teatro_Universitario_di_Parma,Stagione_1968-1969
Teatro_Universitario_di_Parma,Premio_finale
Teatro_Universitario_di_Parma,Parma
Teatro_Universitario_di_Parma,Teatro_Universitario
Teatro_Universitario_di_Bari,Importo_3000000_2
Teatro_Universitario_di_Bari,29_ottobre_1977
Teatro_Universitario_di_Bari,Appunto
Teatro_Universitario_di_Bari,Stagione_1968-1969
Teatro_Universitario_di_Bari,Premio_finale
Teatro_Universitario_di_Bari,Bari
Teatro_Universitario_di_Bari,Teatro_Universitario
Teatro_Universitario_Bologna,Importo_3000000_1
Teatro_Universitario_Bologna,29_ottobre_1976
Teatro_Universitario_Bologna,Appunto
Teatro_Universitario_Bologna,Stagione_1968-1969
Teatro_Universitario_Bologna,Premio_finale
Teatro_Universitario_Bologna,Bologna
Teatro_Universitario_Bologna,Teatro_Universitario
Teatro_Stabile_Trieste,Importo_15000000_3
Teatro_Stabile_Trieste,17_luglio_1969
Teatro_Stabile_Trieste,Verbale_n.222
Teatro_Stabile_Trieste,Stagione_1968-1969
Teatro_Stabile_Trieste,Integrazioni
Teatro_Stabile_Trieste,Trieste
Teatro_Stabile_Trieste,Teatro_Stabile
Teatro_Stabile_Torino,Importo_24000000_1
Teatro_Stabile_Torino,17_luglio_1969
Teatro_Stabile_Torino,Verbale_n.222
Teatro_Stabile_Torino,Stagione_1968-1969
Teatro_Stabile_Torino,Integrazioni
Teatro_Stabile_Torino,Torino
Teatro_Stabile_Torino,Teatro_Stabile
Teatro_Stabile_Roma,Importo_10000000_4
Teatro_Stabile_Roma,17_luglio_1969
Teatro_Stabile_Roma,Verbale_n.222
Teatro_Stabile_Roma,Stagione_1968-1969
Teatro_Stabile_Roma,Integrazioni
Teatro_Stabile_Roma,Roma
Teatro_Stabile_Roma,Teatro_Stabile
Teatro_Stabile_L'Aquila,Importo_24000000_2
Teatro_Stabile_L'Aquila,17_luglio_1969
Teatro_Stabile_L'Aquila,Verbale_n.222
Teatro_Stabile_L'Aquila,Stagione_1968-1969
Teatro_Stabile_L'Aquila,Integrazioni
Teatro_Stabile_L'Aquila,L'Aquila
Teatro_Stabile_L'Aquila,Teatro_Stabile
Teatro_Stabile_Genova,Importo_26000000_1
Teatro_Stabile_Genova,17_luglio_1969
Teatro_Stabile_Genova,Verbale_n.222
Teatro_Stabile_Genova,Stagione_1968-1969
Teatro_Stabile_Genova,Integrazioni
Teatro_Stabile_Genova,Genova
Teatro_Stabile_Genova,Teatro_Stabile
Teatro_Stabile_di_Trieste,Importo_45000000_1
Teatro_Stabile_di_Trieste,29_ottobre_1969
Teatro_Stabile_di_Trieste,Appunto
Teatro_Stabile_di_Trieste,Stagione_1968-1969
Teatro_Stabile_di_Trieste,Premio_finale
Teatro_Stabile_di_Trieste,Trieste
Teatro_Stabile_di_Trieste,Teatro_Stabile
Teatro_Stabile_di_Torino,Importo_95000000_1
Teatro_Stabile_di_Torino,29_ottobre_1970
Teatro_Stabile_di_Torino,Appunto
Teatro_Stabile_di_Torino,Stagione_1968-1969
Teatro_Stabile_di_Torino,Premio_finale
Teatro_Stabile_di_Torino,Torino
Teatro_Stabile_di_Torino,Teatro_Stabile
Teatro_Stabile_di_Roma,Importo_80000000_1
Teatro_Stabile_di_Roma,29_ottobre_1973
Teatro_Stabile_di_Roma,Appunto
Teatro_Stabile_di_Roma,Stagione_1968-1969
Teatro_Stabile_di_Roma,Premio_finale
Teatro_Stabile_di_Roma,Manifestazione_Straordinaria
Teatro_Stabile_di_Roma,Roma
Teatro_Stabile_di_Roma,Compagnia_teatrale
Teatro_Stabile_di_Genova,Importo_115000000_1
Teatro_Stabile_di_Genova,29_ottobre_1971
Teatro_Stabile_di_Genova,Appunto
Teatro_Stabile_di_Genova,Stagione_1968-1969
Teatro_Stabile_di_Genova,Premio_finale
Teatro_Stabile_di_Genova,Integrazioni
Teatro_Stabile_di_Genova,Genova
Teatro_Stabile_di_Genova,Teatro_Stabile
Teatro_Stabile_de_L'Aquila,Importo_40000000_1
Teatro_Stabile_de_L'Aquila,29_ottobre_1968
Teatro_Stabile_de_L'Aquila,Appunto
Teatro_Stabile_de_L'Aquila,Stagione_1968-1969
Teatro_Stabile_de_L'Aquila,Premio_finale
Teatro_Stabile_de_L'Aquila,L'Aquila
Teatro_Stabile_de_L'Aquila,Teatro_Stabile
Teatro_Stabile_Catania,Importo_21000000_1
Teatro_Stabile_Catania,Importo_40000000_2
Teatro_Stabile_Catania,29_ottobre_1974
Teatro_Stabile_Catania,17_luglio_1969
Teatro_Stabile_Catania,Verbale_n.222
Teatro_Stabile_Catania,Appunto
Teatro_Stabile_Catania,Stagione_1968-1969
Teatro_Stabile_Catania,Premio_finale
Teatro_Stabile_Catania,Integrazioni
Teatro_Stabile_Catania,Catania
Teatro_Stabile_Catania,Teatro_Stabile
Teatro_Stabile_Bolzano,Importo_6000000_4
Teatro_Stabile_Bolzano,Importo_35000000_1
Teatro_Stabile_Bolzano,29_ottobre_1975
Teatro_Stabile_Bolzano,17_luglio_1969
Teatro_Stabile_Bolzano,Verbale_n.222
Teatro_Stabile_Bolzano,Appunto
Teatro_Stabile_Bolzano,Stagione_1968-1969
Teatro_Stabile_Bolzano,Premio_finale
Teatro_Stabile_Bolzano,Integrazioni
Teatro_Stabile_Bolzano,Bolzano
Teatro_Stabile_Bolzano,Teatro_Stabile
Teatro_per_ragazzi_di_Roma,Importo_3000000_3
Teatro_per_ragazzi_di_Roma,29_ottobre_1980
Teatro_per_ragazzi_di_Roma,Appunto
Teatro_per_ragazzi_di_Roma,Stagione_1968-1969
Teatro_per_ragazzi_di_Roma,Premio_finale
Teatro_per_ragazzi_di_Roma,Roma
Teatro_per_ragazzi_di_Roma,Teatro_ragazzi
Teatro_Moderno,Importo_4000000_2
Teatro_Moderno,17_luglio_1969
Teatro_Moderno,Verbale_n.222
Teatro_Moderno,Stagione_1968-1969
Teatro_Moderno,Premio_finale
